entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2020-05-27,2020-06-01,long,1256541.77,0.572,0.569,-4199.74,-0.5841,3,512170,医疗ETF,医疗ETF
2020-04-30,2020-06-03,long,1447252.96,0.47,0.525,79166.91,11.6351,21,512760,半导体ETF,半导体ETF
2020-06-01,2020-06-08,long,926634.83,0.766,0.795,26438.47,3.7236,5,512100,中证1000ETF,中证1000ETF
2020-06-03,2020-06-11,long,1298147.63,0.57,0.585,19022.41,2.57,6,512170,医疗ETF,医疗ETF
2020-06-11,2020-06-12,long,359985.02,2.123,2.08,-15933.26,-2.0842,1,159915,创业板ETF,创业板ETF
2020-06-08,2020-06-16,long,1340022.14,0.56,0.577,22323.29,2.9739,6,512010,医药ETF,医药ETF
2020-06-16,2020-06-17,long,355719.83,2.169,2.184,4871.26,0.6312,1,159915,创业板ETF,创业板ETF
2020-05-27,2020-06-18,long,832841.13,0.863,0.936,60347.92,8.3938,16,515030,新能源车ETF,新能源车ETF
2020-06-18,2020-06-19,long,363551.45,2.187,2.196,2793.93,0.3513,1,159915,创业板ETF,创业板ETF
2020-06-17,2020-06-23,long,1338673.65,0.59,0.618,36997.73,4.6829,4,512010,医药ETF,医药ETF
2020-06-23,2020-06-24,long,361783.07,2.26,2.318,20486.55,2.5049,1,159915,创业板ETF,创业板ETF
2020-06-19,2020-06-29,long,834418.56,0.944,0.981,30391.61,3.8572,4,515030,新能源车ETF,新能源车ETF
2020-06-29,2020-07-03,long,361119.02,2.292,2.349,20081.0,2.4254,4,159915,创业板ETF,创业板ETF
2020-06-24,2020-07-06,long,1312664.62,0.633,0.631,-3123.09,-0.3757,6,512010,医药ETF,医药ETF
2020-07-06,2020-07-07,long,364195.53,2.384,2.459,26785.53,3.0841,1,159915,创业板ETF,创业板ETF
2020-06-12,2020-07-07,long,1324510.0,0.576,0.666,118712.39,15.5556,15,512170,医疗ETF,医疗ETF
2020-07-07,2020-07-08,long,192009.17,4.719,4.632,-17243.44,-1.9025,1,510300,沪深300ETF,沪深300ETF
2020-07-07,2020-07-23,long,1332487.13,0.68,0.625,-73808.46,-8.1434,12,512760,半导体ETF,半导体ETF
2020-07-23,2020-07-24,long,193699.2,4.64,4.624,-3637.52,-0.4046,1,510300,沪深300ETF,沪深300ETF
2020-07-08,2020-07-27,long,351917.91,2.515,2.544,9671.51,1.0924,13,159915,创业板ETF,创业板ETF
2020-07-27,2020-07-28,long,935811.52,0.906,0.915,7911.07,0.9328,1,512100,中证1000ETF,中证1000ETF
2020-07-28,2020-07-30,long,189019.26,4.513,4.648,24998.12,2.9296,2,510300,沪深300ETF,沪深300ETF
2020-07-03,2020-07-31,long,735577.98,1.128,1.223,69361.11,8.357,20,512880,证券ETF,证券ETF
2020-07-30,2020-08-06,long,330399.43,2.68,2.767,28204.84,3.1843,5,159915,创业板ETF,创业板ETF
2020-07-31,2020-08-07,long,1198799.41,0.736,0.744,9058.13,1.0263,5,512170,医疗ETF,医疗ETF
2020-08-07,2020-08-12,long,906731.52,1.0,0.97,-27737.82,-3.0582,3,512100,中证1000ETF,中证1000ETF
2020-07-24,2020-08-13,long,1238090.79,0.728,0.709,-24057.47,-2.6683,14,512010,医药ETF,医药ETF
2020-08-12,2020-08-13,long,1220458.12,0.721,0.704,-21269.53,-2.4164,1,512170,医疗ETF,医疗ETF
2020-08-13,2020-08-14,long,1566486.28,0.539,0.534,-8336.68,-0.9871,1,512800,银行ETF,银行ETF
2020-08-14,2020-08-17,long,776179.32,1.093,1.112,14233.96,1.6773,1,515030,新能源车ETF,新能源车ETF
2020-08-17,2020-08-18,long,1350573.07,0.635,0.647,15687.45,1.8286,1,512760,半导体ETF,半导体ETF
2020-08-18,2020-08-19,long,1222333.21,0.713,0.722,10474.78,1.2015,1,512010,医药ETF,医药ETF
2020-08-19,2020-08-20,long,682495.38,1.297,1.265,-22364.42,-2.5257,1,512880,证券ETF,证券ETF
2020-08-20,2020-08-24,long,1594315.59,0.546,0.542,-6897.65,-0.7921,2,512800,银行ETF,银行ETF
2020-08-06,2020-08-24,long,211771.32,4.333,4.042,-62157.53,-6.7719,12,518880,黄金ETF,黄金ETF
2020-08-24,2020-08-25,long,182640.45,4.703,4.724,3318.92,0.3863,1,510300,沪深300ETF,沪深300ETF
2020-08-25,2020-08-26,long,788490.87,1.093,1.086,-6034.87,-0.7,1,515030,新能源车ETF,新能源车ETF
2020-08-24,2020-08-27,long,671585.64,1.279,1.228,-34755.97,-4.0451,3,512880,证券ETF,证券ETF
2020-08-13,2020-09-03,long,885048.33,0.954,1.001,41078.19,4.8637,15,512100,中证1000ETF,中证1000ETF
2020-09-03,2020-09-04,long,681143.65,1.266,1.237,-20264.64,-2.3493,1,512880,证券ETF,证券ETF
2020-09-04,2020-09-07,long,1179057.37,0.727,0.721,-7586.53,-0.8848,1,512170,医疗ETF,医疗ETF
2020-08-26,2020-09-10,long,182340.38,4.717,4.582,-25124.63,-2.9203,11,510300,沪深300ETF,沪深300ETF
2020-09-07,2020-09-11,long,856104.44,0.988,0.912,-65551.92,-7.7477,4,512100,中证1000ETF,中证1000ETF
2020-08-27,2020-09-14,long,1573130.53,0.535,0.532,-5222.95,-0.6204,12,512800,银行ETF,银行ETF
2020-09-10,2020-09-17,long,200798.7,4.105,4.077,-6115.24,-0.7417,5,518880,黄金ETF,黄金ETF
2020-09-14,2020-09-18,long,178733.45,4.605,4.593,-2638.0,-0.3204,4,510300,沪深300ETF,沪深300ETF
2020-09-18,2020-09-21,long,206680.28,4.067,4.085,3214.79,0.3823,1,518880,黄金ETF,黄金ETF
2020-09-21,2020-09-22,long,179752.84,4.713,4.623,-16681.21,-1.9684,1,510300,沪深300ETF,沪深300ETF
2020-09-22,2020-10-12,long,1554723.24,0.54,0.524,-25371.84,-3.0212,8,512800,银行ETF,银行ETF
2020-10-12,2020-10-13,long,209559.16,4.019,4.012,-1971.81,-0.2341,1,518880,黄金ETF,黄金ETF
2020-09-11,2020-10-19,long,766031.91,1.066,1.164,74558.65,9.1277,20,512760,半导体ETF,半导体ETF
2020-10-19,2020-10-22,long,322647.19,2.648,2.594,-17930.34,-2.098,3,159915,创业板ETF,创业板ETF
2020-10-22,2020-10-27,long,1506897.47,0.563,0.552,-17079.93,-2.0126,3,512800,银行ETF,银行ETF
2020-10-27,2020-11-03,long,1258764.51,0.669,0.691,27179.24,3.2265,5,512010,医药ETF,医药ETF
2020-11-03,2020-11-09,long,335932.73,2.622,2.653,9882.3,1.1216,4,159915,创业板ETF,创业板ETF
2020-10-13,2020-11-09,long,1161502.35,0.748,0.729,-22583.21,-2.5986,19,512170,医疗ETF,医疗ETF
2020-11-09,2020-11-10,long,183842.61,4.878,4.958,14164.93,1.5791,1,510300,沪深300ETF,沪深300ETF
2020-11-10,2020-11-12,long,715097.95,1.274,1.198,-54877.76,-6.0219,2,512760,半导体ETF,半导体ETF
2020-11-09,2020-11-16,long,1627557.63,0.551,0.548,-5419.28,-0.6041,5,512800,银行ETF,银行ETF
2020-11-12,2020-11-26,long,179369.67,4.878,4.874,-1242.24,-0.1419,10,510300,沪深300ETF,沪深300ETF
2020-11-16,2020-11-26,long,736156.66,1.188,1.198,6834.63,0.7813,8,512760,半导体ETF,半导体ETF
